Col_0,Col_1,Col_2,Col_3,Col_4,Col_5
Efecto,Criterio:Severidad del Efecto en el ProductoEfecto del Cliente,Grado,Efecto,Criterio:Severidad del Efecto en el Proceso(Efecto de Manufactura/Ensamble,
Fallaal cumplirccnlos regulacionesgubemanentales,eea.eeooe op opo segura operacion del veniculc yo irwolucra incumplmierto ce las cuidado.,10,9,Fallaal cumplir con lcs requerimiertos de seguricado sepzegnfseopnfe,Puede poner en pellgro al operador ide maquina ounosis@qwesu
Ferdida o degradacin de la funcicnprimaria,Perdida de lafuncicn orimaria vehiculo inoperable.no afecta aa segcraoperaciondelveniculc,8,Parcida degracacion de la funcionpnmania,100%delprccucto tengaqueser desechado Paro delinea de envic.,
Degradacicn de la funcion pnmana (vehiculooperable.percenunnvel reducidodecesempeno,,una porcion de la produccion tenga que ser desechada. Desviacidn del proceso primano incluyendo decremento en lavelocidad ce la lineao mano de oora adicional.,,,
Perdica o degradacin de la funcion secuncaria,Perdida de la furcion 5ecurcaria vehiculo operable.funcicnesde comodidacicorreniencia inoperaoles.,,InteupcicnMcceraca,100% ce la produccion tenga que ser retrabajada fuera de la lineayaceptada,
Degradacicn de la funcion secundara fvehiculo operable. funciones de comodidacicorwenienciarecucidas ennivel de desempeno,5,Una porcion ce la orccuccior delalineayaceptada,,,
Molestia,"Apariencia RuicoAudible. vehiculo operable.articulo es no confome y es notado por el la mayoriadelos clientes(>75%,",4,InteTupcicnMcceraca,10c% ce la produccion tenga que ser retrabaada en la estacionantes de ser procesada,
Apariencia Q RuidoAudible. vehiculo operable.articulo es no conforme y es nctaco pcr muchos clientes:50%),,Una porcin cela orccuccior tenga que ser retrabajaca en la estacionantes de ser procesada,,,
"Apariencia Ruico Audible, vehicalo operable.articulo es no contorme y cs notado por clientes ciscnminatonos(<254]",2,Interrupciónmenor,Pequero inconvenicr.e al proceso.operacionu cpcradcr.,,
Sinetecto,Sin efecto perceot ble,1,Sinetecto,ecneeopees,
